[0/20][1550/1583]	Loss_D: 0.4888	Loss_G: 2.8826	D(x): 0.7418	D(G(z)): 0.0954 / 0.0987
[1/20][0/1583]	Loss_D: 0.4398	Loss_G: 4.6299	D(x): 0.8679	D(G(z)): 0.2202 / 0.0151
[1/20][50/1583]	Loss_D: 1.0334	Loss_G: 3.1489	D(x): 0.4856	D(G(z)): 0.0105 / 0.0833
[1/20][100/1583]	Loss_D: 0.6586	Loss_G: 2.7507	D(x): 0.6429	D(G(z)): 0.0635 / 0.0955
[1/20][150/1583]	Loss_D: 0.6867	Loss_G: 2.1460	D(x): 0.6304	D(G(z)): 0.0527 / 0.1878
[1/20][200/1583]	Loss_D: 0.5073	Loss_G: 2.9971	D(x): 0.7478	D(G(z)): 0.1292 / 0.0718
[1/20][250/1583]	Loss_D: 0.5166	Loss_G: 5.7660	D(x): 0.6892	D(G(z)): 0.0041 / 0.0071
[1/20][300/1583]	Loss_D: 0.5163	Loss_G: 4.4832	D(x): 0.8383	D(G(z)): 0.2025 / 0.0206
[1/20][350/1583]	Loss_D: 0.4233	Loss_G: 3.9050	D(x): 0.8735	D(G(z)): 0.2129 / 0.0354
[1/20][400/1583]	Loss_D: 0.4924	Loss_G: 3.5999	D(x): 0.8293	D(G(z)): 0.2077 / 0.0431
[1/20][450/1583]	Loss_D: 0.4304	Loss_G: 6.4690	D(x): 0.9269	D(G(z)): 0.2584 / 0.0042
[1/20][500/1583]	Loss_D: 0.3674	Loss_G: 3.8020	D(x): 0.8540	D(G(z)): 0.1544 / 0.0314
[1/20][550/1583]	Loss_D: 0.4826	Loss_G: 3.1407	D(x): 0.7933	D(G(z)): 0.1693 / 0.0643
[1/20][600/1583]	Loss_D: 0.6889	Loss_G: 1.2808	D(x): 0.6165	D(G(z)): 0.0343 / 0.3699
[1/20][650/1583]	Loss_D: 0.2997	Loss_G: 4.2042	D(x): 0.8762	D(G(z)): 0.1338 / 0.0212
[1/20][700/1583]	Loss_D: 0.6902	Loss_G: 2.1992	D(x): 0.5877	D(G(z)): 0.0345 / 0.1652
[1/20][750/1583]	Loss_D: 0.2394	Loss_G: 4.4056	D(x): 0.9080	D(G(z)): 0.1173 / 0.0200
[1/20][800/1583]	Loss_D: 0.5267	Loss_G: 3.5591	D(x): 0.8292	D(G(z)): 0.2378 / 0.0444
[1/20][850/1583]	Loss_D: 0.2838	Loss_G: 3.9122	D(x): 0.8347	D(G(z)): 0.0684 / 0.0312
[1/20][900/1583]	Loss_D: 0.7057	Loss_G: 4.9320	D(x): 0.8727	D(G(z)): 0.3807 / 0.0129
[1/20][950/1583]	Loss_D: 0.6883	Loss_G: 2.5662	D(x): 0.7087	D(G(z)): 0.2173 / 0.1109
[1/20][1000/1583]	Loss_D: 0.3694	Loss_G: 3.3188	D(x): 0.8638	D(G(z)): 0.1695 / 0.0538
[1/20][1050/1583]	Loss_D: 0.3207	Loss_G: 3.0176	D(x): 0.8605	D(G(z)): 0.1242 / 0.0661
[1/20][1100/1583]	Loss_D: 0.4480	Loss_G: 3.5753	D(x): 0.8050	D(G(z)): 0.1549 / 0.0524
[1/20][1150/1583]	Loss_D: 0.4299	Loss_G: 2.5816	D(x): 0.7988	D(G(z)): 0.1351 / 0.1099
[1/20][1200/1583]	Loss_D: 0.5590	Loss_G: 3.8964	D(x): 0.8667	D(G(z)): 0.2865 / 0.0329
[1/20][1250/1583]	Loss_D: 0.7240	Loss_G: 1.8900	D(x): 0.5853	D(G(z)): 0.0579 / 0.2120
[1/20][1300/1583]	Loss_D: 0.5981	Loss_G: 3.7719	D(x): 0.8243	D(G(z)): 0.2754 / 0.0361
[1/20][1350/1583]	Loss_D: 0.6844	Loss_G: 1.8660	D(x): 0.5770	D(G(z)): 0.0261 / 0.2151
[1/20][1400/1583]	Loss_D: 0.4959	Loss_G: 3.6122	D(x): 0.8855	D(G(z)): 0.2670 / 0.0428
[1/20][1450/1583]	Loss_D: 0.4382	Loss_G: 2.1924	D(x): 0.7909	D(G(z)): 0.1399 / 0.1554
[1/20][1500/1583]	Loss_D: 0.4469	Loss_G: 2.7597	D(x): 0.7987	D(G(z)): 0.1590 / 0.0876
[1/20][1550/1583]	Loss_D: 0.4282	Loss_G: 2.4007	D(x): 0.7471	D(G(z)): 0.0632 / 0.1192
[2/20][0/1583]	Loss_D: 0.4437	Loss_G: 3.2661	D(x): 0.8488	D(G(z)): 0.2062 / 0.0577
[2/20][50/1583]	Loss_D: 0.7960	Loss_G: 1.2126	D(x): 0.6042	D(G(z)): 0.1307 / 0.3517
[2/20][100/1583]	Loss_D: 1.6366	Loss_G: 6.3658	D(x): 0.9518	D(G(z)): 0.7400 / 0.0042
[2/20][150/1583]	Loss_D: 0.6360	Loss_G: 2.4574	D(x): 0.7943	D(G(z)): 0.2678 / 0.1160
[2/20][200/1583]	Loss_D: 0.3892	Loss_G: 2.8387	D(x): 0.7702	D(G(z)): 0.0840 / 0.0779
[2/20][250/1583]	Loss_D: 1.7727	Loss_G: 0.8931	D(x): 0.2636	D(G(z)): 0.0173 / 0.4968
[2/20][300/1583]	Loss_D: 0.4612	Loss_G: 2.4292	D(x): 0.7797	D(G(z)): 0.1559 / 0.1189
[2/20][350/1583]	Loss_D: 0.5313	Loss_G: 2.3949	D(x): 0.6969	D(G(z)): 0.0984 / 0.1340
[2/20][400/1583]	Loss_D: 0.8084	Loss_G: 2.0327	D(x): 0.5417	D(G(z)): 0.0547 / 0.1823
[2/20][450/1583]	Loss_D: 0.9145	Loss_G: 0.8826	D(x): 0.5015	D(G(z)): 0.0769 / 0.4655
[2/20][500/1583]	Loss_D: 0.9726	Loss_G: 4.2586	D(x): 0.9503	D(G(z)): 0.5571 / 0.0211
[2/20][550/1583]	Loss_D: 0.5581	Loss_G: 2.6989	D(x): 0.8628	D(G(z)): 0.2973 / 0.0913
[2/20][600/1583]	Loss_D: 0.4127	Loss_G: 2.7692	D(x): 0.8721	D(G(z)): 0.2137 / 0.0885
[2/20][650/1583]	Loss_D: 0.5283	Loss_G: 3.3228	D(x): 0.8478	D(G(z)): 0.2562 / 0.0557
[2/20][700/1583]	Loss_D: 0.6478	Loss_G: 3.4176	D(x): 0.8902	D(G(z)): 0.3717 / 0.0461
[2/20][750/1583]	Loss_D: 1.2036	Loss_G: 0.8432	D(x): 0.4097	D(G(z)): 0.0525 / 0.4890
[2/20][800/1583]	Loss_D: 1.9459	Loss_G: 5.1819	D(x): 0.9490	D(G(z)): 0.7870 / 0.0085
